,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases,Cumulative Cases
State,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0
2020-03-05,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,0
2020-03-06,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,0
2020-03-07,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,1,1,0,8,0,0
2020-03-08,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,8,2,0,0,0,0,0,0,0,0,2,1,1,0,8,0,0
2020-03-09,0,0,0,0,0,0,0,0,4,0,0,14,0,1,0,1,9,2,0,2,0,0,0,0,0,1,2,1,1,0,10,0,0
2020-03-10,0,0,0,0,0,0,0,0,4,0,0,14,0,1,0,4,17,2,0,5,0,0,0,0,0,1,3,1,1,0,10,0,0
2020-03-11,0,0,0,0,0,0,0,0,5,0,0,14,0,1,0,4,17,3,0,11,0,0,0,0,0,1,3,1,1,0,10,0,0
2020-03-12,0,1,0,0,0,0,0,0,6,0,0,14,0,1,0,5,19,3,0,14,0,0,0,0,0,1,3,1,1,0,12,0,0
2020-03-13,0,1,0,0,0,0,0,0,7,0,0,14,0,2,0,6,22,3,0,17,0,0,0,0,0,1,3,1,1,0,13,0,0
